asin,title,original_price,discounted_price,rating,weight,brand,categories
B00006JSUA,"Lodge 10.25 Inch Cast Iron Pre-Seasoned Skillet – Signature Teardrop Handle - Use in the Oven, on the Stove, on the Grill, or Over a Campfire, Black",34.25,19.90,4.70,5.4000000000,Lodge,Home&Kitchen>Kitchen&Dining
B00006RH5I,"Celestron 14 Piece Telescope Accessory Kit - Plossl Eyepieces, Barlow Lens, Colored Filters, Moon Filter, and Sturdy Carry Case",229.95,189.95,4.70,0.5000000000,Celestron,Electronics>Camera&Photo
B00006RVSF,"Prismacolor Colorless Blender Pencils, 12/Pk",27.29,11.52,4.70,0.1800000000,Prismacolor,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B00006RVSK,"Prismacolor Ebony Graphite Drawing Pencils, Black, Box of 12",11.69,7.49,4.70,0.1700000000,Prismacolor,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000089DCH,"Prismacolor Col-Erase Erasable Colored Pencils, 24 Pack",29.07,17.87,4.70,0.3000000000,Prismacolor,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B00008BK7H,"Neutrogena Body Oil Light Sesame Formula, Dry Skin Moisturizer & Hydrating Body Massage Oil, for Radiant & Healthy Looking Glow, Nourishing Bath Oil for Sheer Moisture, 16 fl. oz",24.87,18.47,4.70,0.5312500000,Neutrogena,Beauty&PersonalCare>SkinCare
B00008GKDN,"Lodge L9OG3 Cast Iron Round Griddle, Pre-Seasoned, 10.5-inch",32.50,19.90,4.60,4.5100000000,Lodge,Home&Kitchen>Kitchen&Dining
B00008IHL8,"Standard Water Filter, BPA-Free, Replaces 1,800 Plastic Water Bottles a Year, Lasts Two Months or 40 Gallons, Includes 6 Filters, Kitchen Essential",29.79,26.74,4.80,0.8818480000,‎Brita,Home&Kitchen>Kitchen&Dining
B00009WO0V,"Weleda Everon Lip Balm, Soin Des Levres - 0.17 Oz, White",7.00,5.99,4.50,0.0106250000,Weleda,Beauty&PersonalCare>SkinCare
B0000DJAPU,"Nature Made Zinc 30 mg, Dietary Supplement for Immune Health and Antioxidant Support, 100 Tablets, 100 Day Supply",5.79,4.99,4.70,0.1100000000,Nature Made,Health&Household>HealthCare
B0000TFGFU,"IRWIN VISE-GRIP Original Locking Pliers/Sheet Metal Tool, 8-Inch (23)",29.96,16.14,4.70,0.6613860000,IRWIN,Automotive>Tools&Equipment
B0001TJX2Q,"Home Health Products, Oil Castor Organic, 32 Fl Oz",26.49,12.94,4.70,2.0000000000,Home Health,Beauty&PersonalCare>SkinCare
B0001TMDF0,"Heritage Store Rosewater, Hydrating Formula for Skin & Hair, No Dyes or Alcohol, Vegan 8oz",12.49,10.49,4.70,0.5000000000,HERITAGE STORE,Beauty&PersonalCare>SkinCare
B0001ZVXJQ,Kodak Portra 400 Color Print 35mm Film - 36 Exposures,23.22,20.82,4.60,0.0500000000,GRDE,Electronics>Camera&Photo
B00028MLKC,"NOW Solutions, Liquid Lanolin Pure, Intense Protection, Formulated for Dry Rough Lips and Skin, 4-Ounce",10.99,8.07,4.60,0.2900000000,NOW,Beauty&PersonalCare>SkinCare
B0002BBP7Y,"Metra 72-8104 Speaker Connector for Select Toyota Vehicles, MULTI COLOR",14.51,8.99,4.50,0.0400000000,Metra,Automotive>CarElectronics&Accessories
B0002BEQJ8,Metra 70-1761 Radio Wiring Harness For Toyota 87-Up Power 4 Speaker,22.39,5.39,4.50,0.0200000000,Metra,Automotive>CarElectronics&Accessories
B0002BEQN4,Metra 40-GM10 GM Antenna Adapter,10.98,6.96,4.40,0.0200000000,Metra,Automotive>CarElectronics&Accessories
